trial,tsc,delta,low8
472,9046219327255,73447794,23
473,9046292707227,73379972,155
474,9046367493022,74785795,158
475,9046437995485,70502463,221
476,9046509776188,71780703,60
477,9046583219990,73443802,22
478,9046657787823,74567833,175
479,9046728195419,70407596,91
480,9046798635609,70440190,89
481,9046874253565,75617956,253
482,9046948401871,74148306,207
483,9047017370775,68968904,151
484,9047089041471,71670696,63
485,9047161526823,72485352,39
486,9047236414679,74887856,215
487,9047310105665,73690986,65
488,9047381886478,71780813,14
489,9047452574757,70688279,37
490,9047523205686,70630929,54
491,9047596448883,73243197,115
492,9047669480709,73031826,5
493,9047746542360,77061651,24
494,9047815514549,68972189,181
495,9047887131527,71616978,135
496,9047960867547,73736020,219
497,9048032913178,72045631,26
498,9048104416266,71503088,10
499,9048177055946,72639680,202
500,9048249676480,72620534,192
501,9048326152105,76475625,169
502,9048400678932,74526827,20
503,9048469022819,68343887,99
504,9048539258989,70236170,109
505,9048611656300,72397311,108
506,9048687196023,75539723,119
507,9048759612877,72416854,205
508,9048833895744,74282867,64
509,9048905563616,71667872,224
510,9048976848303,71284687,175
511,9049051689322,74841019,106
512,9049121245840,69556518,144
513,9049195942542,74696702,142
514,9049268321079,72378537,55
515,9049338089525,69768446,53
516,9049414634850,76545325,98
517,9049482672292,68037442,164
518,9049556029963,73357671,11
519,9049627566691,71536728,99
520,9049701369035,73802344,203
521,9049774334120,72965085,168
522,9049847168186,72834066,186
523,9049918023404,70855218,236
524,9049989399367,71375963,71
525,9050061350562,71951195,162
526,9050140510834,79160272,114
527,9050210410770,69899936,18
528,9050285582704,75171934,112
529,9050353551405,67968701,45
530,9050426331449,72780044,57
531,9050500639585,74308136,97
532,9050575441307,74801722,155
533,9050646830224,71388917,144
534,9050717688613,70858389,37
535,9050787896744,70208131,168
536,9050864706109,76809365,61
537,9050935648393,70942284,137
538,9051007046783,71398390,127
539,9051079268687,72221904,79
540,9051153790805,74522118,85
541,9051225277990,71487185,38
542,9051295287156,70009166,116
543,9051371406503,76119347,167
544,9051444157643,72751140,203
545,9051515002543,70844900,175
546,9051591444252,76441709,28
547,9051664569759,73125507,159
548,9051735200991,70631232,223
549,9051804469902,69268911,142
550,9051877447962,72978060,26
551,9051955479643,78031681,91
552,9052029515923,74036280,147
553,9052094484522,64968599,42
554,9052168884291,74399769,67
555,9052239099651,70215360,3
556,9052312822843,73723192,59
557,9052386889604,74066761,132
558,9052462432713,75543109,201
559,9052531011054,68578341,238
560,9052602110485,71099431,21
561,9052678155192,76044707,184
562,9052751845541,73690349,165
563,9052821432011,69586470,203
564,9052893895947,72463936,11
565,9052965609707,71713760,235
566,9053038628901,73019194,37
567,9053109662830,71033929,110
568,9053186007845,76345015,37
569,9053255849996,69842151,12
570,9053328465551,72615555,143
571,9053401693868,73228317,172
572,9053475684919,73991051,55
