trial,tsc,delta,low16,low8
382,93174635957310,72457246,3134,62
383,93174707728574,71771264,12478,190
384,93174779805953,72077379,257,1
385,93174851473514,71667561,36970,106
386,93174922135870,70662356,51518,62
387,93174998391427,76255557,23171,131
388,93175072041337,73649910,10617,121
389,93175143961510,71920173,37798,166
390,93175217216074,73254564,23114,74
391,93175290167103,72951029,32575,63
392,93175362644167,72477064,26823,199
393,93175433557235,70913068,29939,243
394,93175507621732,74064497,38756,100
395,93175582847422,75225690,29118,190
396,93175654184592,71337170,63120,144
397,93175726855384,72670792,54488,216
398,93175796251602,69396218,48082,210
399,93175868598221,72346619,42957,205
400,93175940046042,71447821,56538,218
401,93176016015566,75969524,4302,206
402,93176087330899,71315333,16467,83
403,93176161563423,74232524,62239,31
404,93176237955587,76392164,39427,3
405,93176307354294,69398707,35510,182
406,93176379118982,71764688,38278,134
407,93176449176449,70057467,37761,129
408,93176523291455,74115006,31551,63
409,93176592523140,69231685,57220,132
410,93176665856729,73333589,56025,217
411,93176739665274,73808545,5498,122
412,93176811985033,72319759,39049,137
413,93176884861582,72876549,39566,142
414,93176954670358,69808776,52502,22
415,93177028850838,74180480,46230,150
416,93177101658429,72807591,43325,61
417,93177174875845,73217416,57029,197
418,93177248635747,73759902,23395,99
419,93177319558278,70922531,35974,134
420,93177390588652,71030374,25324,236
421,93177463562157,72973505,57261,173
422,93177538972512,75410355,35680,96
423,93177611165309,72192797,7805,125
424,93177681232206,70066897,16718,78
425,93177757342802,76110596,40018,82
426,93177830243126,72900324,64310,54
427,93177901595331,71352205,47811,195
428,93177971564456,69969125,24488,168
429,93178049573545,78009089,45737,169
430,93178121873301,72299756,59285,149
431,93178188466116,66592815,1988,196
432,93178263234776,74768660,59608,216
433,93178334138969,70904193,53849,89
434,93178406789123,72650154,24579,3
435,93178485197205,78408082,51605,149
436,93178556791622,71594417,15174,70
437,93178626304025,69512403,59417,25
438,93178697245976,70941951,25880,24
439,93178769659754,72413778,22378,106
440,93178841940469,72280715,16885,245
441,93178915475884,73535415,20908,172
442,93178987067822,71591938,47534,174
443,93179065472443,78404621,5563,187
444,93179133312184,67839741,15544,184
445,93179209485860,76173676,36388,36
446,93179279438740,69952880,62356,148
447,93179354391782,74953042,42214,230
448,93179423305304,68913522,11864,88
449,93179497580471,74275167,34743,183
450,93179567661384,70080913,57672,72
451,93179641702136,74040752,42744,248
452,93179713959015,72256879,13415,103
453,93179786910966,72951951,23798,246
454,93179856946134,70035168,982,214
455,93179930778930,73832796,40242,50
456,93180004761406,73982476,32574,62
457,93180072352355,67590949,55907,99
458,93180146815071,74462716,4191,95
459,93180219992410,73177339,43354,90
460,93180293274792,73282382,56488,168
461,93180366421902,73147110,65422,142
462,93180438651921,72230019,9233,17
463,93180513291951,74640030,3759,175
464,93180587689226,74397275,17674,10
465,93180659753532,72064306,57916,60
466,93180727136274,67382742,4114,18
467,93180806718650,79582376,25786,186
468,93180872885395,66166745,1171,147
469,93180945452341,72566946,19765,53
470,93181019225982,73773641,65406,126
471,93181090093084,70867102,22556,28
472,93181163608497,73515413,6577,177
473,93181237980684,74372187,60940,12
474,93181309059691,71079007,33387,107
475,93181385061844,76002153,13780,212
476,93181456341109,71279265,55413,117
477,93181529503607,73162498,14199,119
478,93181600193542,70689935,56326,6
479,93181672472024,72278482,48600,216
480,93181747325818,74853794,60282,122
481,93181816789173,69463355,55477,181
482,93181890294600,73505427,29512,72
483,93181960708434,70413834,57682,82
484,93182035616893,74908459,58493,125
485,93182106251329,70634436,45121,65
486,93182178428579,72177250,1699,163
487,93182253167034,74738455,29114,186
488,93182324192753,71025719,13809,241
489,93182396298658,72105905,30114,162
490,93182473094910,76796252,18174,254
491,93182541636514,68541604,9122,162
492,93182614590448,72953934,21488,240
493,93182686675344,72084896,16784,144
494,93182759058591,72383247,48287,159
495,93182831897988,72839397,11652,132
496,93182905130829,73232841,40781,77
497,93182976757922,71627093,37026,162
498,93183052192699,75434777,39867,187
499,93183122554417,70361718,15921,49
500,93183194884940,72330523,60236,76
501,93183269099491,74214551,22499,227
502,93183342344270,73244779,63566,78
503,93183412477257,70132987,7497,73
504,93183487520051,75042794,11571,51
505,93183561944508,74424457,52668,188
506,93183631268927,69324419,39999,63
507,93183705312364,74043437,27756,108
508,93183778363667,73051303,6419,19
509,93183850951309,72587642,45709,141
510,93183921860791,70909482,45239,183
511,93183995971313,74110522,34545,241
512,93184066010871,70039558,16119,247
513,93184138126525,72115654,42173,189
514,93184214150852,76024327,44740,196
515,93184283692772,69541920,52964,228
516,93184357261349,73568577,24613,37
517,93184429145132,71883783,15404,44
518,93184501058329,71913197,35609,25
519,93184573173034,72114705,60714,42
520,93184650554123,77381089,43787,11
521,93184725147790,74593667,57486,142
522,93184790072451,64924661,35971,131
523,93184863350612,73278161,44884,84
524,93184935669058,72318446,11586,66
525,93185013210247,77541189,23687,135
526,93185079880768,66670521,44096,64
527,93185154913256,75032488,37864,232
528,93185227537606,72624350,48326,198
529,93185301158916,73621310,7172,4
530,93185370594381,69435465,40013,77
531,93185442761964,72167583,52460,236
532,93185518258256,75496292,51280,80
533,93185591246073,72987817,31993,249
534,93185667282303,76036230,46463,127
535,93185735399683,68117380,6403,3
536,93185807517858,72118175,34978,162
537,93185880451873,72934015,27425,33
538,93185955009401,74557528,4985,121
539,93186024825026,69815625,24770,194
540,93186095800589,70975563,24845,13
541,93186168314400,72513811,55840,32
542,93186242342926,74028526,28686,14
543,93186315175247,72832321,50511,79
544,93186389069719,73894472,20375,151
545,93186460714219,71644500,34027,235
546,93186532781098,72066879,11306,42
547,93186604688629,71907531,25845,245
548,93186678521326,73832697,65006,238
549,93186749372069,70850743,5797,165
550,93186823542455,74170386,54967,183
551,93186895467184,71924729,21168,176
552,93186970581580,75114396,31308,76
553,93187038554615,67973035,43511,247
554,93187113759698,75205083,13266,210
555,93187184661573,70901875,5189,69
556,93187259253491,74591918,17139,243
557,93187331649917,72396426,61821,125
558,93187399563208,67913291,14280,200
559,93187471875039,72311831,39903,223
560,93187546680068,74805029,2820,4
561,93187620537770,73857702,1450,170
562,93187694078564,73540794,10852,100
563,93187765095103,71016539,51903,191
564,93187839090861,73995758,57517,173
565,93187916252158,77161297,17406,254
566,93187984628876,68376718,40076,140
567,93188058506740,73877864,58868,244
568,93188127669091,69162351,15203,99
569,93188201488650,73819559,41226,10
570,93188272939615,71450965,57951,95
571,93188349579117,76639502,20333,109
572,93188415460815,65881698,38351,207
573,93188491353679,75892864,40527,79
574,93188563096145,71742466,21073,81
