trial,tsc,delta,low8
581,578726379747,70154425,227
582,578799294431,72914684,223
583,578873360967,74066536,71
584,578945336431,71975464,111
585,579019981811,74645380,243
586,579090056705,70074894,1
587,579162801355,72744650,203
588,579252670440,89869085,232
589,579310297694,57627254,94
590,579378929689,68631995,25
591,579452767979,73838290,235
592,579526062928,73294949,80
593,579597092369,71029441,17
594,579673031630,75939261,206
595,579738187920,65156290,144
596,579810650989,72463069,109
597,579888192846,77541857,78
598,579957884746,69691900,74
599,580034489804,76605058,204
600,580103848871,69359067,167
601,580181098096,77249225,112
602,580251898605,70800509,237
603,580323620496,71721891,144
604,580396511902,72891406,158
605,580469721663,73209761,63
606,580539408042,69686379,170
607,580611164769,71756727,97
608,580686272810,75108041,42
609,580758892945,72620135,145
610,580832532995,73640050,3
611,580901092692,68559697,84
612,580973106776,72014084,88
613,581046767626,73660850,10
614,581119028184,72260558,216
615,581191948234,72920050,202
616,581265251594,73303360,10
617,581337088359,71836765,103
618,581412252636,75164277,220
619,581484831389,72578753,157
620,581555629735,70798346,167
621,581628288773,72659038,5
622,581700444303,72155530,143
623,581776633017,76188714,185
624,581850475757,73842740,237
625,581919770543,69294786,175
626,581992986182,73215639,70
627,582066203286,73217104,150
628,582137382416,71179130,16
629,582211163476,73781060,84
630,582283165803,72002327,107
631,582352003396,68837593,68
632,582426494672,74491276,208
633,582499544773,73050101,197
634,582573535066,73990293,90
635,582643231550,69696484,62
636,582716279514,73047964,218
637,582788492143,72212629,111
638,582862261179,73769036,187
639,582935920035,73658856,163
640,583009073829,73153794,165
641,583081331280,72257451,80
642,583155709342,74378062,158
643,583231410930,75701588,242
644,583303565875,72154945,51
645,583372556784,68990909,240
646,583442762150,70205366,166
647,583516861916,74099766,220
648,583589564076,72702160,172
649,583658389828,68825752,68
650,583731759445,73369617,85
651,583809198662,77439217,70
652,583882943977,73745315,233
653,583951504809,68560832,169
654,584024076109,72571300,77
655,584094149834,70073725,202
656,584169901123,75751289,67
657,584240768977,70867854,209
658,584314988237,74219260,205
659,584390591423,75603186,191
660,584459750226,69158803,82
661,584531363823,71613597,239
662,584604248881,72885058,49
663,584675946034,71697153,50
664,584750101314,74155280,66
665,584821168736,71067422,96
666,584893677458,72508722,146
667,584967831866,74154408,58
668,585038522413,70690547,45
669,585109757722,71235309,26
670,585185242376,75484654,8
671,585255427098,70184722,26
672,585329971545,74544447,89
673,585402835080,72863535,136
674,585476634076,73798996,220
675,585551842415,75208339,111
676,585619052907,67210492,107
677,585691646933,72594026,213
678,585765014512,73367579,240
679,585839127925,74113413,117
680,585910920590,71792665,142
681,585981795358,70874768,30
682,586056917111,75121753,119
683,586126049741,69132630,205
684,586200990386,74940645,178
685,586274939529,73949143,137
686,586344330243,69390714,3
687,586416571914,72241671,10
688,586491442620,74870706,188
689,586573206955,81764335,171
690,586631827246,58620291,46
691,586704815438,72988192,78
692,586781350816,76535378,160
693,586856029452,74678636,12
694,586927136528,71107076,16
695,586995020713,67884185,169
696,587068432100,73411387,228
697,587141038448,72606348,112
698,587213658583,72620135,215
699,587284892391,71233808,231
700,587358847334,73954943,102
701,587431182009,72334675,185
702,587503318573,72136564,45
703,587582780625,79462052,209
704,587652432508,69651883,124
705,587725514671,73082163,175
706,587798644805,73130134,69
707,587866359003,67714198,219
708,587942231989,75872986,181
709,588015490719,73258730,159
710,588086516726,71026007,246
711,588159435164,72918438,156
712,588229275696,69840532,48
713,588302595061,73319365,245
714,588377713415,75118354,7
715,588450574865,72861450,17
716,588522415932,71841067,60
717,588595583914,73167982,170
718,588666967470,71383556,174
719,588744130218,77162748,170
720,588814736235,70606017,107
721,588886128087,71391852,215
722,588956146428,70018341,252
723,589028839485,72693057,61
724,589103091150,74251665,206
725,589175733713,72642563,209
726,589249032869,73299156,165
727,589316558532,67525663,196
728,589390692050,74133518,210
729,589462157181,71465131,125
730,589537157370,75000189,250
731,589610124930,72967560,130
732,589683345228,73220298,76
733,589756269062,72923834,6
734,589828881194,72612132,42
735,589899524661,70643467,53
736,589974107963,74583302,59
737,590047559180,73451217,12
738,590116253173,68693993,245
739,590191136635,74883462,123
740,590265528159,74391524,95
741,590335246445,69718286,109
742,590409330279,74083834,103
743,590483590236,74259957,92
744,590925205391,441615155,143
745,592133650046,1208444655,126
746,592196503582,62853536,30
747,592272691962,76188380,250
748,592340712570,68020608,122
749,592414572386,73859816,98
750,592488364566,73792180,22
751,592561217527,72852961,247
752,592636645293,75427766,173
753,592704707000,68061707,184
754,592776926583,72219583,119
755,592852994615,76068032,55
756,592921810564,68815949,132
757,592995751592,73941028,168
758,593066897270,71145678,118
759,593141224334,74327064,142
760,593214470193,73245859,49
761,593287317423,72847230,175
762,593357520411,70202988,27
763,593432945757,75425346,93
764,593500814859,67869102,11
765,593576312706,75497847,130
766,593648381804,72069098,108
767,593722285456,73903652,144
768,593792455121,70169665,209
769,593867953327,75498206,175
770,593943021370,75068043,58
771,594011690128,68668758,144
772,594082541808,70851680,240
773,594153870848,71329040,0
774,594232125354,78254506,170
775,594303629772,71504418,204
776,594376528653,72898881,13
777,594445080975,68552322,143
778,594520652433,75571458,145
779,594594407968,73755535,32
780,594683149436,88741468,124
781,594737755269,54605833,133
782,594807931461,70176192,69
783,594882948066,75016605,226
784,594954690514,71742448,210
785,595024666479,69975965,111
786,595101019535,76353056,143
787,595172506567,71487032,199
788,595247901517,75394950,77
789,595317761459,69859942,179
790,595391416879,73655420,47
791,595462684417,71267538,1
792,595534711457,72027040,161
793,595608940464,74229007,176
794,595685231203,76290739,99
795,595756577638,71346435,102
796,595828408180,71830542,116
797,595902290736,73882556,48
798,595973831682,71540946,2
799,596043733188,69901506,196
800,596116332195,72599007,163
801,596187980148,71647953,116
802,596264435397,76455249,197
803,596336073398,71638001,182
804,596410281377,74207979,161
805,596480960308,70678931,52
806,596551121734,70161426,70
807,596624322125,73200391,77
808,596694645327,70323202,79
809,596769602121,74956794,73
810,596841463195,71861074,155
811,596919248312,77785117,184
812,596989943018,70694706,234
813,597059594851,69651833,99
814,597131779258,72184407,186
815,597207891419,76112161,219
816,597280086492,72195073,220
817,597349318076,69231584,188
818,597423264567,73946491,55
819,597496688187,73423620,59
820,597571520473,74832286,217
821,597642213940,70693467,52
822,597712190714,69976774,250
823,597785092482,72901768,130
824,597855392968,70300486,200
825,597930307264,74914296,192
826,598005608742,75301478,38
827,598079232013,73623271,13
828,598150219155,70987142,147
829,598220777070,70557915,110
830,598294096885,73319815,245
831,598367186397,73089512,221
832,598438787463,71601066,135
833,598512351373,73563910,141
834,598586293475,73942102,227
835,598656891469,70597994,77
836,598727554840,70663371,24
837,598801632297,74077457,41
838,598874933705,73301408,201
839,598946285832,71352127,8
840,599020631981,74346149,173
841,599675065947,654433966,91
842,600874546132,1199480185,212
843,600943119345,68573213,241
844,601017314076,74194731,28
845,601090199962,72885886,154
846,601160732738,70532776,66
847,601232350336,71617598,128
848,601304725671,72375335,167
849,601375011508,70285837,180
850,601449814769,74803261,241
851,601521336950,71522181,118
852,601591524014,70187064,174
853,601668506339,76982325,227
854,601738280009,69773670,73
855,601811335781,73055772,101
856,601886755462,75419681,134
857,602433644881,546889419,81
858,603639991941,1206347060,133
859,603710749572,70757631,132
860,603788791353,78041781,57
861,603859470769,70679416,177
862,603926486522,67015753,250
863,604007544952,81058430,120
864,604074903529,67358577,233
865,604145627727,70724198,79
866,604223570727,77943000,39
867,604291618454,68047727,150
868,604366784810,75166356,42
869,604439817542,73032732,70
870,604509338727,69521185,103
871,604583239688,73900961,8
872,604655857959,72618271,39
873,604727828716,71970757,236
874,604801219928,73391212,88
875,604872798188,71578260,236
876,604945141542,72343354,38
877,605016557629,71416087,61
878,605092965646,76408017,14
879,605168427187,75461541,179
880,605252439331,84012144,35
881,605310393316,57953985,228
882,605378471927,68078611,247
883,605451700623,73228696,143
884,605522568629,70868006,181
885,605595244239,72675610,207
886,605671312975,76068736,79
887,605743988793,72675818,57
888,605815509809,71521016,49
889,605889026487,73516678,183
890,606428070727,539044240,71
891,607634420492,1206349765,12
892,607707044294,72623802,198
893,607780317017,73272723,89
894,607850107303,69790286,167
895,607924237575,74130272,7
896,607993930212,69692637,228
897,608065093698,71163486,66
898,608138358357,73264659,85
899,608211254971,72896614,187
900,608285437017,74182046,89
901,608355211944,69774927,168
902,608427853882,72641938,58
903,608502773829,74919947,69
904,608573611834,70838005,58
905,608646037983,72426149,223
906,608716176605,70138622,221
907,608791305412,75128807,196
908,608862362698,71057286,74
909,609333399180,471036482,140
910,610539460288,1206061108,192
911,610602617610,63157322,10
912,610678360788,75743178,212
913,610748612300,70251512,204
914,610823839785,75227485,41
915,610897872670,74032885,30
916,610967916782,70044112,238
917,611038759235,70842453,67
918,611113182046,74422811,94
919,611182960039,69777993,167
920,611261282344,78322305,40
921,611332877386,71595042,74
922,611404906258,72028872,18
923,611481630466,76724208,2
924,611546835155,65204689,211
925,611619390047,72554892,95
926,611694125840,74735793,16
927,611762243413,68117573,85
928,611838995732,76752319,20
929,611911998462,73002730,254
930,611982643824,70645362,112
931,612055111422,72467598,254
932,612131364578,76253156,226
933,612204244062,72879484,94
934,612276762188,72518126,76
935,612347157063,70394875,71
936,612417235793,70078730,81
937,613297086380,879850587,172
938,614502862267,1205775887,187
939,614579818297,76956030,57
940,614645562384,65744087,16
941,614716032062,70469678,62
942,614790011428,73979366,36
943,614862872583,72861155,7
944,614934171727,71299144,79
945,615008365840,74194113,16
946,615077031042,68665202,130
947,615150792798,73761756,94
948,615224034703,73241905,143
949,615294386831,70352128,143
950,615368676907,74290076,43
951,615440666162,71989255,50
952,615517811902,77145740,190
953,616066426936,548615034,56
954,617273378899,1206951963,83
955,617339110410,65731511,10
956,617416890726,77780316,102
957,617490362361,73471635,249
958,617562267420,71905059,28
959,617631944658,69677238,210
960,617702454676,70510018,148
961,617776352653,73897977,141
962,617849244462,72891809,46
963,617921233359,71988897,207
964,617997427122,76193763,178
965,618608115196,610688074,252
966,619810648779,1202533583,203
967,619882960166,72311387,38
968,619955850078,72889912,94
969,620029399335,73549257,39
970,620097850508,68451173,140
971,620170639030,72788522,182
972,620243500688,72861658,144
973,620313897904,70397216,176
974,620388434953,74537049,9
975,620458208559,69773606,47
976,620532790888,74582329,104
977,621123152759,590361871,119
978,622327379946,1204227187,234
979,622397713125,70333179,229
980,622468437529,70724404,25
981,622540886199,72448670,183
982,622614323670,73437471,214
983,622686575435,72251765,75
984,623550571318,863995883,54
985,624112134154,561562836,10
986,625316482569,1204348415,9
987,625385114065,68631496,209
988,625456217125,71103060,37
989,625526970451,70753326,83
990,626264382289,737411838,81
991,627119191589,854809300,37
992,627572440659,453249070,83
993,628005463173,433022514,133
994,628498414855,492951682,7
995,628945409126,446994271,102
996,629431016457,485607331,9
997,630437757236,1006740779,52
998,631371514900,933757664,20
999,632439411022,1067896122,78
