trial,tsc,delta,low8,low16
545,3866429397026,75218431,34,38946
546,3866500733375,71336349,191,6591
547,3866573707763,72974388,243,39411
548,3866646016873,72309110,105,62313
549,3866717541958,71525085,70,22086
550,3866790878229,73336271,21,23573
551,3866863789349,72911120,37,58661
552,3866937800496,74011147,48,14128
553,3867008428248,70627752,216,59608
554,3867082282205,73853957,221,54493
555,3867152642911,70360706,95,29535
556,3867227477204,74834293,212,21716
557,3867298589982,71112778,30,27934
558,3867372851675,74261693,219,37339
559,3867442796062,69944387,30,54814
560,3867518014813,75218751,93,38237
561,3867589553417,71538604,9,11529
562,3867664636184,75082767,24,55576
563,3867734343116,69706932,204,32204
564,3867809040874,74697758,234,18922
565,3867882313887,73273013,159,22687
566,3867951859504,69545617,48,34608
567,3868028705630,76846126,94,7006
568,3868097203049,68497419,105,19305
569,3868170168954,72965905,122,43642
570,3868243334787,73165833,131,5763
571,3868315395940,72061153,100,42852
572,3868387998194,72602254,242,31218
573,3868461345104,73346910,80,43344
574,3868533093266,71748162,146,29586
575,3868606122765,73029499,13,51981
576,3868679120648,72997883,8,42760
577,3868752054345,72933697,73,34889
578,3868826064635,74010290,251,55035
579,3868898023563,71958928,139,55435
580,3868967751455,69727892,31,53023
581,3869040597074,72845619,82,22610
582,3869115351254,74754180,214,214
583,3869188158170,72806916,218,62170
584,3869259448255,71290085,191,49087
585,3869337932101,78483846,69,20805
586,3869403862568,65930467,40,22056
587,3869477331356,73468788,156,24988
588,3869548540914,71209558,242,62450
589,3869624043692,75502778,172,2220
590,3869696173695,72130003,127,42623
591,3869768856457,72682762,137,45961
592,3869843102913,74246456,193,40129
593,3869910845864,67742951,168,18856
594,3869983491486,72645622,158,50590
595,3870056658394,73166908,218,13786
596,3870126616425,69958031,105,44905
597,3870201381610,74765185,234,33514
598,3870273880457,72498847,137,49545
599,3870347556033,73675576,193,62657
600,3870420042750,72486717,254,1022
601,3870488339588,68296838,132,9348
602,3870565451411,77111823,147,50835
603,3870638944024,73492613,24,12056
604,3870711690782,72746758,30,13854
605,3870784239128,72548346,24,13848
606,3870857847185,73608057,145,24977
607,3870925567986,67720801,242,47090
608,3871001308754,75740768,82,28242
609,3871071560718,70251964,14,25614
610,3871146439544,74878826,120,62328
611,3871219299600,72860056,16,46352
612,3871290203993,70904393,89,40793
613,3871361911320,71707327,24,51736
614,3871436583049,74671729,137,12425
615,3871505201523,68618474,115,14707
616,3871580785197,75583674,45,35373
617,3871653615102,72829905,254,54782
618,3871725082505,71467403,137,22409
619,3871803099956,78017451,52,52020
620,3871869839865,66739909,249,10745
621,3871943286785,73446920,1,57345
622,3872017711354,74424569,250,33018
623,3872089554963,71843609,19,49171
624,3872160295002,70740039,90,10330
625,3872231292347,70997345,187,32187
626,3872307741506,76449159,66,834
627,3872377757096,70015590,168,23976
628,3872451737320,73980224,232,14056
629,3872521121135,69383815,111,60783
630,3872596555716,75434581,196,63428
631,3872669549613,72993897,45,50221
632,3872748022093,78472480,77,10573
633,3872820174168,72152075,88,7512
634,3872889395844,69221676,132,23172
635,3872956999570,67603726,146,59282
636,3873029563731,72564161,83,9555
637,3873104946433,75382702,1,25857
638,3873179323446,74377013,54,19510
639,3873248967511,69644065,87,64343
640,3873324684984,75717473,184,22200
641,3873392804198,68119214,102,49510
642,3873470087837,77283639,157,669
643,3873540203104,70115267,96,57952
644,3873614281600,74078496,128,15232
645,3873686508508,72226908,220,21468
646,3873757597015,71088507,87,3415
647,3873833306655,75709640,31,18975
648,3873907579733,74273078,85,39765
649,3873976402177,68822444,1,49409
650,3874049119263,72717086,31,21535
651,3874121761477,72642214,197,49861
652,3874192112371,70350894,243,15091
653,3874268934627,76822256,227,29155
654,3874337289230,68354603,14,29710
655,3874408918071,71628841,55,27703
656,3874483180882,74262811,82,38226
657,3874558294172,75113290,156,47260
658,3874633308363,75014191,203,22731
659,3874704488956,71180593,252,31228
660,3874774535036,70046080,124,19324
661,3874845349852,70814816,220,55260
662,3874917136285,71786433,157,14237
663,3874988370105,71233820,185,10425
664,3875059879066,71508961,154,19610
665,3875134583928,74704862,120,13432
666,3875207583701,72999773,213,6101
667,3875279708630,72124929,214,41430
668,3875353472431,73763801,175,11695
669,3875425690588,72218157,220,9180
670,3875499035892,73345304,244,19700
671,3875572821427,73785535,179,11699
672,3875643837551,71016124,111,52335
673,3875718221418,74383867,106,52842
674,3875790778367,72556949,255,61439
675,3875862088160,71309793,224,2528
676,3875934670402,72582242,66,36418
677,3876010088386,75417984,194,22466
678,3876081523471,71435085,15,23311
679,3876153334021,71810550,5,6405
680,3876226134821,72800800,37,62245
681,3876297805149,71670328,93,36189
682,3876372401483,74596334,75,52555
683,3876447586750,75185267,190,2494
684,3876520865544,73278794,8,12040
685,3876598112255,77246711,255,57343
686,3876660889215,62776960,127,50815
687,3876739120155,78230940,27,31771
688,3876810008161,70888006,97,9825
689,3876877997154,67988993,98,37986
690,3876950643011,72645857,67,4419
691,3877023841375,73198364,95,64607
692,3877093754425,69913050,57,50745
693,3877167492117,73737692,21,60437
